test,baseline_instr,optimized_instr,reduction_instr,reduction_pct,baseline_exit_code
test000,22,12,10,45.45,0
test001,23,16,7,30.43,0
test002,145,76,69,47.59,0
test003,51,26,25,49.02,0
test004,176,157,19,10.8,0
test005,52,50,2,3.85,0
test006,193,169,24,12.44,0
test007,40,26,14,35.0,0
test008,49,17,32,65.31,0
test009,77,65,12,15.58,0
test010,30,15,15,50.0,0
test011,20,16,4,20.0,0
test012,51,45,6,11.76,0
test013,101,87,14,13.86,0
test014,42,40,2,4.76,0
test110,102,76,26,25.49,0
test111,40,16,24,60.0,0
test112,43,22,21,48.84,0
test113,34,14,20,58.82,0
test114,36,12,24,66.67,0
test115,47,20,27,57.45,0
test116,50,35,15,30.0,0
test117,70,78,-8,-11.43,0
test118,238,134,104,43.7,0
test119,21,12,9,42.86,0
test120,40,27,13,32.5,0
test202,23,18,5,21.74,0
test203,38,36,2,5.26,0
test204-ssa,53,23,30,56.6,0
test205-arr,109,54,55,50.46,0
test206-ofe,75,15,60,80.0,0
test207,128,92,36,28.12,0
test208-arr,74,72,2,2.7,0
test209-cf,45,20,25,55.56,0
test210,42,17,25,59.52,0
test211-ofe,44,36,8,18.18,0
test212-ssa-ofe,136,12,124,91.18,0
test213-dce,67,59,8,11.94,0
test214-cf,38,18,20,52.63,0
test215,112,96,16,14.29,0
test216,234,69,165,70.51,0
test217,69,67,2,2.9,0
test218-arr-param,180,174,6,3.33,0
test219,50,48,2,4.0,0
test220,109,49,60,55.05,1
test221-arr,89,89,0,0.0,0
test222-func,160,149,11,6.88,0
test223-regAlloc,30,21,9,30.0,0
test224-arr-param,145,145,0,0.0,0
test225,99,97,2,2.02,0
test226,142,122,20,14.08,0
test227-func,50,53,-3,-6.0,0
test228,107,54,53,49.53,0
test_F25_00,22,12,10,45.45,0
test_F25_01,23,16,7,30.43,0
test_F25_02,91,57,34,37.36,1
test_F25_03,29,10,19,65.52,0
test_F25_04,21,21,0,0.0,0
test_F25_05,36,17,19,52.78,0
test_F25_06,84,23,61,72.62,0
test_F25_07,86,80,6,6.98,0
test_F25_08,23,18,5,21.74,0
test_F25_09,28,20,8,28.57,0
test_F25_10,129,44,85,65.89,0
