test,CF,CP,CPP,DCE,CSE,OFE,total_rewrites
test000,5,11,0,13,0,0,29
test001,6,10,0,11,0,0,27
test002,0,33,0,66,0,0,99
test003,9,28,0,35,0,0,72
test004,4,16,18,50,3,0,91
test005,0,2,4,9,0,0,15
test006,1,5,16,29,10,0,61
test007,2,12,3,22,0,0,39
test008,13,19,0,17,0,0,49
test009,3,11,0,11,0,0,25
test010,3,6,5,21,0,0,35
test011,3,7,0,8,0,0,18
test012,0,2,4,8,0,0,14
test013,0,4,9,26,0,0,39
test014,0,1,0,3,0,0,4
test110,1,19,18,54,1,0,93
test111,19,31,0,33,0,0,83
test112,13,29,0,32,0,0,74
test113,9,27,0,27,0,0,63
test114,17,29,0,31,0,0,77
test115,8,16,1,12,0,0,37
test116,7,16,1,13,0,0,37
test117,0,0,10,17,0,0,27
test118,19,44,40,89,34,0,226
test119,5,7,0,8,0,0,20
test120,2,12,3,22,0,0,39
test202,1,9,0,10,0,0,20
test203,0,5,4,15,0,0,24
test204-ssa,16,25,1,15,0,0,57
test205-arr,11,26,19,51,14,0,121
test206-ofe,2,6,0,8,0,1,17
test207,16,31,19,47,1,0,114
test208-arr,0,3,13,26,9,0,51
test209-cf,19,37,0,43,0,0,99
test210,11,13,0,11,0,0,35
test211-ofe,1,4,0,11,0,0,16
test212-ssa-ofe,0,0,7,14,0,1,22
test213-dce,0,5,1,12,0,0,18
test214-cf,10,16,0,9,0,0,35
test215,5,20,27,46,0,0,98
test216,11,5,18,24,0,1,59
test217,0,2,8,13,0,0,23
test218-arr-param,0,3,6,19,3,0,31
test219,0,5,6,13,0,0,24
test220,17,34,3,55,0,0,109
test221-arr,0,2,8,20,5,0,35
test222-func,0,0,2,21,0,0,23
test223-regAlloc,0,0,9,18,0,0,27
test224-arr-param,0,6,5,27,1,0,39
test225,0,1,2,14,0,0,17
test226,0,0,10,28,0,0,38
test227-func,0,0,4,5,0,0,9
test228,11,26,19,51,14,0,121
test_F25_00,5,11,0,13,0,0,29
test_F25_01,6,10,0,11,0,0,27
test_F25_02,11,7,0,10,0,0,28
test_F25_03,3,6,0,12,0,1,22
test_F25_04,0,2,1,4,0,0,7
test_F25_05,3,6,10,26,0,0,45
test_F25_06,30,45,0,57,0,0,132
test_F25_07,0,6,0,12,0,0,18
test_F25_08,1,9,0,10,0,0,20
test_F25_09,4,12,0,14,0,0,30
test_F25_10,9,35,0,35,0,1,80
